,stressor,Gene_set_Term,Genes
10,increasing_in_obesity,"BioPlanet_2019_Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins",COX8A;NDUFB9;COX7B;NDUFA7;NDUFA11;NDUFB10;UQCRB;NDUFB11;NDUFA4;COX4I1;NDUFA2;NDUFA1;NDUFC2;ATP5H;UQCR10;COX6C;ATP5G1;COX7C;COX6B1;ATP5L;COX7A2L;UQCRQ;ATP5E;UCP2
11,increasing_in_obesity,BioPlanet_2019_Protein processing in the endoplasmic reticulum,TRAM1;HSP90AB1;RPN2;UBE2D2;UBE2D3;RPN1;DERL1;RRBP1;HSP90B1;HERPUD1;LMAN1;GANAB;SEC61G;LMAN2;SSR1;SEC61B;UGGT1;SEC63;TXNDC5;PDIA3;HSPA8;HSP90AA1;UBE2E3;SSR2;SSR3;PDIA6;DDOST;ERN1;DNAJC3;DAD1;CALR;P4HB;ATF4;HSPA1A
12,increasing_in_obesity,BioPlanet_2019_Alzheimer's disease,APP;NDUFB9;COX7B;NDUFB10;UQCRB;LRP1;COX4I1;COX7A2;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;COX7C;HSD17B10;APH1A;NCSTN;CASP7;ATP5E;CHP1;COX8A;NDUFA7;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6C;COX6B1;ERN1;BACE1;COX7A2L;UQCRQ;GAPDH;CDK5R1
13,increasing_in_obesity,BioPlanet_2019_Tricarboxylic acid (TCA) cycle and respiratory electron transport,NDUFB9;COX7B;NDUFA11;NDUFB10;UQCRB;NDUFB11;COX4I1;ATP5H;UQCR10;ATP5G1;COX7C;ATP5L;ATP5E;BSG;UCP2;PDK2;COX8A;NDUFA7;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6C;COX6B1;COX7A2L;UQCRQ;L2HGDH
14,increasing_in_obesity,BioPlanet_2019_Oxidative phosphorylation,NDUFB9;COX7B;NDUFA11;NDUFB10;UQCRB;COX4I1;COX7A2;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;COX7C;ATP5L;ATP5E;ATP6V0E2;COX8A;NDUFA7;NDUFA4;ATP6AP2;NDUFA2;NDUFA1;NDUFC2;COX6C;COX6B1;COX7A2L;UQCRQ
15,increasing_in_obesity,BioPlanet_2019_Parkinson's disease,COX8A;NDUFB9;COX7B;NDUFA7;NDUFB10;UQCRB;NDUFA4;COX4I1;NDUFA2;NDUFA1;NDUFC2;COX7A2;ATP5H;ATP5G3;UQCR10;ATP5G2;COX6C;ATP5G1;COX7C;COX6B1;COX7A2L;UQCRQ;ATP5E;SLC25A4
16,increasing_in_obesity,BioPlanet_2019_Diabetes pathways,SNAP25;NFYA;FKBP14;SLC30A5;GFPT1;CXXC1;PDIA6;PDIA5;HSP90B1;HERPUD1;ERN1;DNAJC3;SPCS3;SPCS2;SERP1;SPCS1;SSR1;DNAJB9;HDGF;CALR;CD44;ATF4;PAPPA2;SEC11C
17,increasing_in_obesity,BioPlanet_2019_T cell receptor regulation of apoptosis,TOP2A;CDKN1A;HSP90AB1;YBX1;RPL10A;CLU;RPL6;RPL7A;CHCHD2;CCND1;PALM;RPL37;SEC61B;IER2;HMGN1;EIF5A;DUSP5;HSP90AA1;RPL23;TUBB;FOS;MIF;KCNAB3;MR1;NME1;DAD1;CCNE1;S100A6;LAP3;RPL28;GAPDH;PTMA;ATF4;PTGES;FKBP2;STK4;OAZ1;HSP90B1;PPP2CB;SH3BGRL;CHST11;PCBP4;PRDX1;RPL14;S100A10;TXNDC5;EGR1;GABBR2;HSPA8;JUN;NFYA;EEF2;COX6C;HSPE1;SOD2;ELP6;NR4A2;CENPF;RPS29;GOLGB1;NUCB1;RPS20;HSPA1A;MAP3K12
18,increasing_in_obesity,BioPlanet_2019_Asparagine N-linked glycosylation,PDIA3;MCFD2;ST6GAL1;RPN2;RPN1;GFPT1;DDOST;LMAN1;DPM3;GANAB;MAN2A2;DAD1;RFT1;ST3GAL4;MLEC;CALR;B4GALT6;UGGT1
19,increasing_in_obesity,BioPlanet_2019_BDNF signaling pathway,BTG2;CDKN1A;TWF2;HSPB1;CLU;HERPUD1;RGS2;PCLO;SPP1;SSR1;IER2;S100A10;KLF10;EGR1;DUSP5;HSPA8;JUN;TUBB;RPS6;GFPT1;ESRRG;FOS;SLC39A14;NR4A2;CENPF;DCX;TXNIP;CALR;PLP2;B4GALT6;SEC22B;KCNK1;RAMP1;NUCB2;HSPA1A
20,increasing_in_obesity,BioPlanet_2019_Protein export,SPCS3;IMMP2L;SPCS2;SPCS1;SEC61G;SEC61B;SRP9;SEC11C;SEC63
21,increasing_in_obesity,BioPlanet_2019_Huntington's disease,NDUFB9;COX7B;NDUFB10;UQCRB;COX4I1;CLTA;COX7A2;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;COX7C;ATP5E;COX8A;NDUFA7;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6C;SOD2;COX6B1;COX7A2L;UQCRQ;HAP1;SLC25A4
22,increasing_in_obesity,BioPlanet_2019_Unfolded protein response,NFYA;FKBP14;GFPT1;CXXC1;PDIA6;PDIA5;HERPUD1;HSP90B1;DNAJC3;ERN1;SERP1;DNAJB9;SSR1;HDGF;CALR;ATF4
23,increasing_in_obesity,BioPlanet_2019_Mitotic G2-G2/M phases,YWHAE;HSP90AA1;TUBGCP2;TUBB;NDE1;CEP164;DCTN3;TUBG2;TUBB4B;CDK1;PRKACA;PCNT;MNAT1;CEP76;SDCCAG8;CEP78
24,increasing_in_obesity,BioPlanet_2019_Activation of chaperones by IRE1 alpha,DNAJC3;ERN1;SERP1;FKBP14;GFPT1;CXXC1;DNAJB9;SSR1;HDGF;PDIA6;PDIA5
25,increasing_in_obesity,BioPlanet_2019_Insulin biosynthesis and processing,SNAP25;SPCS3;SPCS2;SPCS1;RPN2;SLC30A5;RPN1;DDOST;SRP9;SEC11C
26,increasing_in_obesity,BioPlanet_2019_Post-translational protein modification,MCFD2;RPN2;PROS1;RPN1;PIGP;FURIN;LMAN1;GANAB;MAN2A2;ST3GAL4;MLEC;MUC4;UGGT1;VKORC1;PDIA3;EIF5A;ST6GAL1;GFPT1;DDOST;PIGC;DPM3;DAD1;RFT1;CALR;B4GALT6
27,increasing_in_obesity,BioPlanet_2019_Cardiac muscle contraction,COX8A;COX7B;UQCRB;COX4I1;TNNC1;COX7A2;ATP1A1;UQCR10;COX6C;COX7C;COX6B1;CACNB1;COX7A2L;UQCRQ
28,increasing_in_obesity,"BioPlanet_2019_Glucose-dependent insulinotropic polypeptide (GIP) biosynthesis, secretion, and inactivation",SPCS3;SPCS2;SPCS1;PAX6;SEC11C
29,increasing_in_obesity,BioPlanet_2019_N-glycan trimming in the ER and calnexin/calreticulin cycle,PDIA3;GANAB;MLEC;CALR;UGGT1
30,increasing_in_obesity,BioPlanet_2019_Support of platelet aggregation by Eph kinases and ephrins,ITGB1;LYN;RAP1B;ACTA1
31,increasing_in_obesity,BioPlanet_2019_Golgi-associated vesicle biogenesis,BLOC1S4;HSPA8;ARF1;BLOC1S3;CLTA;TXNDC5
32,increasing_in_obesity,BioPlanet_2019_N-glycan biosynthesis,GANAB;ST6GAL1;DPM3;RPN2;MAN2A2;DAD1;RPN1;RFT1;DDOST
33,increasing_in_obesity,BioPlanet_2019_Stathmin and breast cancer resistance to antimicrotubule agents,CAMK2B;TSG101;RB1CC1;STMN1;CDK1;PRKACB;MAPK13
34,increasing_in_obesity,KEGG_2019_Human_Ribosome,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;MRPS10;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;MRPL14;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;RPL22L1;FAU;RPS21;RPS23
35,increasing_in_obesity,KEGG_2019_Human_Protein processing in endoplasmic reticulum,TRAM1;HSP90AB1;RPN2;UBE2D2;UBE2D3;RPN1;DERL1;RRBP1;HSP90B1;HERPUD1;LMAN1;GANAB;SEC61G;LMAN2;SSR1;SEC61B;UGGT1;SEC63;TXNDC5;PDIA3;HSPA8;HSP90AA1;SSR2;SSR3;PDIA6;DDOST;ERN1;DNAJC3;SELENOS;DAD1;CALR;P4HB;ATF4;HSPA1A
36,increasing_in_obesity,KEGG_2019_Human_Alzheimer disease,APP;NDUFB9;COX7B;NDUFA11;NDUFB10;UQCRB;LRP1;NDUFB11;COX4I1;COX7A2;UQCR10;COX7C;HSD17B10;APH1A;NCSTN;CASP7;COX8A;NDUFA7;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6C;COX6B1;ERN1;BACE1;COX7A2L;UQCRQ;GAPDH;CDK5R1
37,increasing_in_obesity,KEGG_2019_Human_Protein export,SPCS3;SPCS2;IMMP2L;SPCS1;SEC61G;SRPRA;SEC61B;SRP9;SEC63;SEC11C
38,increasing_in_obesity,KEGG_2019_Human_Non-alcoholic fatty liver disease (NAFLD),NDUFB9;COX7B;NDUFA11;NDUFB10;UQCRB;NDUFB11;COX4I1;COX7A2;UQCR10;ADIPOR1;COX7C;CASP7;COX8A;JUN;NDUFA7;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6C;COX6B1;ERN1;COX7A2L;UQCRQ;ATF4
39,increasing_in_obesity,KEGG_2019_Human_Parkinson disease,COX8A;NDUFB9;COX7B;NDUFA7;NDUFA11;NDUFB10;UQCRB;NDUFB11;NDUFA4;COX4I1;NDUFA2;NDUFA1;NDUFC2;COX7A2;UQCR10;COX6C;COX7C;COX6B1;COX7A2L;UQCRQ;PRKACA;PRKACB;SLC25A4
40,increasing_in_obesity,KEGG_2019_Human_Oxidative phosphorylation,COX8A;NDUFB9;COX7B;NDUFA7;NDUFA11;NDUFB10;UQCRB;NDUFB11;NDUFA4;COX4I1;NDUFA2;NDUFA1;NDUFC2;COX7A2;UQCR10;COX6C;COX7C;COX6B1;COX7A2L;UQCRQ;ATP6V0E2
41,increasing_in_obesity,KEGG_2019_Human_Huntington disease,NDUFB9;COX7B;NDUFA11;NDUFB10;UQCRB;NDUFB11;DNAH8;COX4I1;CLTA;COX7A2;UQCR10;COX7C;COX8A;NDUFA7;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6C;SOD2;COX6B1;COX7A2L;UQCRQ;HAP1;SLC25A4
42,increasing_in_obesity,KEGG_2019_Human_Cardiac muscle contraction,COX8A;COX7B;UQCRB;COX4I1;TNNC1;COX7A2;UQCR10;ATP1A1;COX6C;COX7C;COX6B1;CACNB1;COX7A2L;UQCRQ
43,increasing_in_obesity,KEGG_2019_Human_Thermogenesis,NDUFB9;COX7B;NDUFA11;NDUFB10;UQCRB;NDUFB11;COX18;COX4I1;COX7A2;UQCR10;COX7C;RPS6KA2;PRKACA;PRKACB;COX8A;COA3;NDUFA7;NDUFA4;RPS6;NDUFA2;NDUFA1;NDUFC2;COX6C;COX6B1;MAPK13;COX7A2L;UQCRQ;NDUFAF1
44,increasing_in_obesity,KEGG_2019_Human_Other types of O-glycan biosynthesis,POMT2;ST6GAL1;POFUT2;GXYLT1;PLOD3;OGT
45,increasing_in_obesity,KEGG_2019_Human_Estrogen signaling pathway,SHC4;HSPA8;GABBR2;JUN;HSP90AA1;HSP90AB1;TGFA;FOS;HSP90B1;KRT18;PRKACA;RAF1;PRKACB;FKBP5;ATF4;HBEGF;HSPA1A
46,increasing_in_obesity,Reactome_2022_SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,RPL4;RPL5;RPL30;TRAM1;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;SSR2;RPL22;RPS6;SSR3;DDOST;RPL37A;RPL26;RPL29;RPL28;RPN2;RPL12;RPN1;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;SSR1;RPL15;RPS2;RPL18;SEC11C;RPL35A;RPL23A;RPS25;SPCS3;RPS28;SPCS2;RPS27;SPCS1;RPS29;SRPRA;RPS20;RPL22L1;FAU;RPS21;RPS23
47,increasing_in_obesity,Reactome_2022_Eukaryotic Translation Elongation R-HSA-156842,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;EEF1G;RPL37A;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;EEF2;RPS25;RPS28;RPS27;RPS29;RPL22L1;RPS20;FAU;RPS21;RPS23
48,increasing_in_obesity,Reactome_2022_Peptide Chain Elongation R-HSA-156902,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;RPL37A;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;EEF2;RPS25;RPS28;RPS27;RPS29;RPL22L1;RPS20;FAU;RPS21;RPS23
49,increasing_in_obesity,Reactome_2022_Viral mRNA Translation R-HSA-192823,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DNAJC3;RPL37A;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL22L1;RPS20;FAU;RPS21;RPS23
50,increasing_in_obesity,Reactome_2022_Formation Of A Pool Of Free 40S Subunits R-HSA-72689,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;RPL37A;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;RPS25;RPS28;EIF3M;RPS27;RPS29;RPS20;RPL22L1;EIF3F;FAU;RPS21;EIF3A;RPS23
51,increasing_in_obesity,Reactome_2022_Eukaryotic Translation Termination R-HSA-72764,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;RPL37A;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL22L1;RPS20;FAU;RPS21;RPS23
52,increasing_in_obesity,Reactome_2022_Selenocysteine Synthesis R-HSA-2408557,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;RPL37A;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL22L1;RPS20;FAU;RPS21;RPS23
53,increasing_in_obesity,Reactome_2022_Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;RPL37A;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL22L1;RPS20;FAU;RPS21;RPS23
54,increasing_in_obesity,Reactome_2022_GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;RPL37A;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;RPS25;RPS28;EIF3M;EIF5;RPS27;RPS29;RPS20;RPL22L1;EIF3F;FAU;RPS21;EIF3A;RPS23
55,increasing_in_obesity,Reactome_2022_Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;RPL37A;RPL26;RPL29;RPL28;ATF4;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPS20;RPL22L1;FAU;RPS21;RPS23
